state,next state,to-be-executed action,last action,li_lj,i_j,i,j
2,65,INCI,TERMINATE,0,0,-1,-1
65,134,INCJ,INCI,1,1,0,-1
134,227,RESETJ,INCJ,0,0,0,0
227,65,INCI,RESETJ,1,1,0,-1
65,137,INCJ,INCI,1,1,0,-1
137,134,INCJ,INCJ,1,1,0,0
227,70,INCI,RESETJ,1,1,0,-1
70,232,RESETJ,INCI,0,1,1,-1
232,16,TERMINATE,RESETJ,0,1,1,-1
65,136,INCJ,INCI,1,1,0,-1
136,299,SWAP,INCJ,0,1,0,0
299,134,INCJ,SWAP,1,1,0,0
2,64,INCI,TERMINATE,0,0,-1,-1
64,281,SWAP,INCI,0,1,0,-1
281,134,INCJ,SWAP,1,1,0,-1
227,64,INCI,RESETJ,1,1,0,-1
281,136,INCJ,SWAP,1,1,0,-1
137,137,INCJ,INCJ,1,1,0,0
137,136,INCJ,INCJ,1,1,0,0
299,136,INCJ,SWAP,1,1,0,0
